year,month,ALCH_T,ANIM_T,ASST_T,BURG_T,HOMD_T,MOTR_T,MVTF_T,ROBB_T,THEF_T,VAND_T,WCCR_T
2016,1,7,0,15,38,2,7,311,33,53,22,7
2016,2,8,3,13,25,0,2,271,25,40,21,6
2016,3,13,1,12,20,0,9,257,14,46,19,9
2016,4,12,1,23,31,0,3,287,30,53,45,5
2016,5,11,0,22,20,0,6,284,23,64,34,4
2016,6,7,2,14,29,0,4,339,29,71,37,7
2016,7,12,1,21,25,0,6,350,28,55,25,2
2016,8,9,0,15,23,2,5,306,35,63,38,2
2016,9,9,0,14,19,0,4,338,27,63,24,2
2016,10,5,1,21,17,0,6,320,16,55,36,5
2016,11,10,1,16,23,0,3,323,20,70,34,2
2016,12,5,0,11,35,0,1,319,27,54,24,7
2017,1,7,2,19,27,0,6,421,20,53,21,5
2017,2,6,0,26,17,1,6,275,23,49,20,1
2017,3,8,3,21,18,0,2,305,23,34,27,1
2017,4,6,0,17,22,0,10,293,15,65,23,3
2017,5,4,4,34,60,0,4,367,11,96,42,23
2017,6,4,1,34,64,0,9,373,16,115,50,24
2017,7,5,1,22,36,0,2,366,14,78,25,8
2017,8,10,1,20,26,0,2,344,31,55,20,11
2017,9,6,0,16,24,0,2,297,22,44,31,4
2017,10,10,2,25,30,0,7,342,23,33,26,1
2017,11,6,1,25,25,0,5,403,31,43,19,3
2017,12,4,2,16,20,0,5,339,21,44,21,2
2018,1,6,2,24,17,1,5,399,10,51,23,4
2018,2,19,5,37,32,3,19,328,36,114,48,11
2018,3,9,5,13,14,1,3,349,14,31,15,4
2018,4,8,8,18,24,0,0,384,9,46,11,3
2018,5,7,5,19,15,2,1,387,27,39,12,7
2018,6,10,7,20,17,2,3,372,19,34,11,6
2018,7,13,7,31,13,0,5,349,13,34,17,17
2018,8,15,4,30,8,1,1,422,11,48,18,1
2018,9,10,15,16,13,4,5,450,8,33,11,4
2018,10,10,5,25,7,3,5,431,4,51,17,6
2018,11,55,36,25,14,9,9,447,8,40,15,4
2018,12,65,35,17,7,6,11,473,6,24,16,13
2019,1,38,28,27,14,10,11,444,8,53,19,4
2019,2,70,23,22,9,10,11,361,11,33,15,2
2019,3,42,10,23,17,7,4,438,7,49,19,1
2019,4,40,19,30,19,1,9,361,7,39,13,2
2019,5,36,26,28,8,4,6,462,12,33,19,8
2019,6,42,20,23,19,13,7,432,14,56,24,6
2019,7,31,39,19,16,12,11,449,11,64,29,7
2019,8,14,6,25,11,5,11,428,15,71,13,4
2019,9,16,8,31,12,1,9,457,12,64,14,16
2019,10,6,4,31,10,5,6,442,13,57,10,6
2019,11,6,6,20,10,0,4,449,12,68,14,10
2019,12,18,4,28,18,3,7,464,11,75,23,5
2020,1,7,7,20,14,0,5,664,10,49,17,5
2020,2,16,15,18,9,2,6,566,4,52,15,1
2020,3,10,7,24,13,3,4,514,8,53,15,3
2020,4,17,19,26,10,9,6,463,1,50,10,2
2020,5,46,26,21,10,11,6,537,5,53,28,9
2020,6,29,16,36,15,6,6,692,5,63,20,10
2020,7,41,43,37,11,9,14,636,11,72,27,6
2020,8,43,74,33,17,23,6,567,5,76,17,6
2020,9,45,52,41,15,17,4,614,4,52,11,4
2020,10,31,46,23,25,17,8,582,11,89,24,8
2020,11,32,15,20,17,7,8,622,8,80,19,6
2020,12,21,36,44,48,9,9,678,24,132,41,10
2021,1,48,74,81,65,21,19,503,58,158,60,11
2021,2,29,37,48,46,15,24,533,19,131,42,9
2021,3,53,76,74,44,23,14,584,32,159,45,13
2021,4,85,120,83,23,39,32,529,31,293,69,12
2021,5,111,158,101,46,40,30,699,51,216,80,17
2021,6,92,126,107,70,36,70,664,39,274,126,24
2021,7,133,154,322,152,45,98,791,95,777,347,45
