year,month,ALCH,ANIM,ASST,BURG,HOMD,MOTR,MVTF,ROBB,THEF,VAND,WCCR
2016,1,29,0,33,88,2,28,956,59,145,65,14
2016,2,28,3,29,72,1,10,770,53,128,56,13
2016,3,38,2,30,54,3,16,767,24,128,46,17
2016,4,37,2,48,61,0,13,889,46,142,86,9
2016,5,41,3,52,59,0,18,951,46,158,72,13
2016,6,43,4,33,66,0,18,958,47,174,71,18
2016,7,39,2,42,64,1,16,1007,51,143,71,5
2016,8,25,2,38,55,4,19,909,63,140,72,9
2016,9,21,1,37,59,0,10,923,40,146,57,4
2016,10,23,2,48,62,2,19,957,37,161,75,16
2016,11,23,2,30,69,0,12,901,40,157,68,14
2016,12,20,0,33,83,0,17,887,49,158,61,12
2017,1,20,2,43,71,0,16,1214,47,132,48,11
2017,2,14,3,49,58,1,14,759,41,112,50,5
2017,3,27,5,54,57,0,11,879,37,109,64,10
2017,4,12,4,42,64,0,20,903,40,128,60,7
2017,5,13,11,83,137,1,23,946,22,308,103,56
2017,6,13,4,80,178,0,19,993,36,327,123,60
2017,7,23,2,66,83,0,12,958,33,177,70,22
2017,8,24,1,40,51,1,6,996,67,133,61,15
2017,9,14,2,53,50,1,14,862,43,119,57,9
2017,10,23,4,58,76,0,11,993,56,136,61,13
2017,11,12,2,57,49,1,12,1061,55,135,44,8
2017,12,13,2,39,53,0,12,990,35,134,43,6
2018,1,27,2,51,47,1,22,1149,24,132,50,14
2018,2,67,11,77,119,3,42,953,78,287,118,22
2018,3,24,10,32,54,1,10,1055,23,87,32,15
2018,4,25,8,46,69,0,12,1016,34,112,31,10
2018,5,23,5,46,58,3,11,1180,64,131,43,12
2018,6,32,12,50,67,3,11,1182,27,121,31,14
2018,7,24,8,56,34,0,14,1176,21,116,47,23
2018,8,40,5,51,28,1,11,1309,19,128,46,10
2018,9,23,16,46,36,4,15,1329,25,111,34,16
2018,10,33,7,52,32,5,18,1301,17,145,35,15
2018,11,153,41,51,34,10,18,1383,24,130,35,12
2018,12,159,37,42,37,7,23,1432,15,110,44,21
2019,1,115,33,46,35,10,32,1378,21,152,46,16
2019,2,168,23,48,34,10,33,1237,22,100,30,11
2019,3,135,12,58,46,7,29,1371,16,147,48,10
2019,4,129,25,54,48,1,29,1231,22,110,24,15
2019,5,129,28,72,20,5,25,1393,22,125,47,20
2019,6,108,23,59,45,13,26,1418,28,179,55,17
2019,7,92,42,57,63,13,28,1501,36,193,59,11
2019,8,49,7,72,36,6,20,1453,24,181,39,16
2019,9,52,9,70,32,1,28,1405,25,179,36,28
2019,10,30,7,74,25,5,21,1447,26,211,50,21
2019,11,32,8,62,40,3,19,1376,31,186,38,23
2019,12,35,5,72,48,3,22,1543,24,207,56,15
2020,1,37,7,49,43,0,13,1939,19,169,34,8
2020,2,55,15,49,31,4,24,1558,14,164,34,7
2020,3,30,7,59,39,3,11,1511,18,165,36,10
2020,4,71,19,70,26,9,20,1384,4,161,40,3
2020,5,117,31,52,35,11,44,1373,11,173,66,13
2020,6,83,17,83,32,6,23,1719,17,181,64,17
2020,7,107,48,88,29,9,31,1711,19,205,73,18
2020,8,115,78,73,48,23,26,1736,13,221,51,17
2020,9,130,55,94,26,17,23,1733,12,180,50,18
2020,10,103,51,70,46,19,20,1765,35,252,52,18
2020,11,80,22,72,50,7,27,1679,23,206,61,24
2020,12,43,37,82,85,10,19,1743,39,277,77,23
2021,1,108,74,135,132,21,37,1556,90,319,92,26
2021,2,85,38,107,73,15,42,1437,62,264,84,25
2021,3,150,79,168,90,24,35,1570,73,316,94,27
2021,4,196,139,185,68,40,61,1564,71,566,137,41
2021,5,264,161,228,95,40,71,1856,111,446,150,52
2021,6,246,136,262,172,41,193,1969,114,695,360,62
2021,7,308,163,904,539,50,307,2132,227,2165,932,121
