Date,TAAG,NIBRS_Crime_Category
2016-01-01,,ACDT
2016-01-01,,ASST
2016-01-01,,MVTF
2016-01-01,CampWisdom Westmoreland,ALCH
2016-01-01,Forest Dennis,MVTF
2016-01-01,,VAND
2016-01-01,SpringValley Preston,WEAP
2016-01-01,Forest Dennis,MVTF
2016-01-01,Greenville LBJ,OTHR
2016-01-01,,MVTF
2016-01-01,LakeJune Buckner,ROBB
2016-01-01,Loop12 JimMiller,VAND
2016-01-01,SpringValley Preston,ALCH
2016-01-01,,MVTF
2016-01-01,,MOTR
2016-01-01,Kiest Polk,ROBB
2016-01-01,LakeJune Buckner,ROBB
2016-01-01,CampWisdom Chaucer,MVTF
2016-01-01,Kiest Polk,ROBB
2016-01-01,,WCCR
2016-01-01,Overton Illinois,MVTF
2016-01-01,,SUDT
2016-01-01,Simpson Stuart Bonnieview,OTHR
2016-01-01,,MOTR
2016-01-01,StAugustine Bruton,OTHR
2016-01-01,Overton Illinois,MVTF
2016-01-01,,OTHR
2016-01-01,,SUDT
2016-01-01,,WCCR
2016-01-01,,OTHR
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,OTHR
2016-01-01,,MVTF
2016-01-01,CampWisdom Chaucer,MVTF
2016-01-01,,WCCR
2016-01-01,,MVTF
2016-01-01,Hatcher Scyene,MVTF
2016-01-01,Wycliff Lemmon,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,JohnWest Buckner,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,Simpson Stuart Bonnieview,MVTF
2016-01-01,,MVTF
2016-01-01,Wycliff Lemmon,MVTF
2016-01-01,JohnWest Buckner,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,MVTF
2016-01-01,,PROP
2016-01-01,,ASST
2016-01-01,,VAND
2016-01-01,,WCCR
2016-01-01,,OTHR
2016-01-01,,OTHR
2016-01-01,WebbChapel Timberline,VAND
2016-01-01,,PROP
2016-01-01,,VAND
2016-01-01,,ASST
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,Loop12 JimMiller,THEF
2016-01-02,,MVTF
2016-01-02,McKinney Allen,VAND
2016-01-02,,MVTF
2016-01-02,Loop12 JimMiller,THEF
2016-01-02,,BURG
2016-01-02,,MVTF
2016-01-02,,BURG
2016-01-02,Hatcher Scyene,MVTF
2016-01-02,,MVTF
2016-01-02,Greenville LBJ,MVTF
2016-01-02,,THEF
2016-01-02,WalnutHill Jupiter,MVTF
2016-01-02,,THEF
2016-01-02,,MVTF
2016-01-02,JohnWest Buckner,ACDT
2016-01-02,,MVTF
2016-01-02,Greenville LBJ,MVTF
2016-01-02,NWHwy WaltonWalker,OTHR
2016-01-02,,MVTF
2016-01-02,,ALCH
2016-01-02,,MVTF
2016-01-02,Kiest Westmoreland,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,Greenville LBJ,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,Buckner 30,MVTF
2016-01-02,Kiest Westmoreland,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,NWHwy WaltonWalker,MVTF
2016-01-02,,MVTF
2016-01-02,NWHwy WaltonWalker,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,,MVTF
2016-01-02,WalnutHill Jupiter,MVTF
2016-01-02,,MVTF
2016-01-02,,THEF
2016-01-02,,BURG
2016-01-02,,ROBB
2016-01-02,,THEF
2016-01-02,,THEF
2016-01-02,,ARSN
2016-01-02,,MVTF
2016-01-03,,ALCH
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,Ross Bennett,MVTF
2016-01-03,Five Points,MVTF
2016-01-03,,PROP
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,Five Points,MVTF
2016-01-03,,BURG
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,Buckner 30,ASST
2016-01-03,,OTHR
2016-01-03,,BURG
2016-01-03,WalnutHill Jupiter,OTHR
2016-01-03,,PROP
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,WebbChapel Timberline,MVTF
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,WebbChapel Timberline,MVTF
2016-01-03,Ross Bennett,MVTF
2016-01-03,FtWorth Davis,MVTF
2016-01-03,,THEF
2016-01-03,Ross Bennett,MVTF
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,,MVTF
2016-01-03,,ALCH
2016-01-03,,BURG
2016-01-03,,ALCH
2016-01-03,,MOTR
2016-01-03,Buckner 30,SUDT
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,ALCH
2016-01-04,,PROP
2016-01-04,,MVTF
2016-01-04,Five Points,ROBB
2016-01-04,,MVTF
2016-01-04,Five Points,ARSN
2016-01-04,,MVTF
2016-01-04,WebbChapel Timberline,BURG
2016-01-04,WebbChapel Timberline,BURG
2016-01-04,,MVTF
2016-01-04,,BURG
2016-01-04,Five Points,ROBB
2016-01-04,Wycliff Lemmon,BURG
2016-01-04,Wycliff Lemmon,BURG
2016-01-04,,BURG
2016-01-04,Monument GoodLatimer,MVTF
2016-01-04,Monument GoodLatimer,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,Forest Audelia,MVTF
2016-01-04,,MVTF
2016-01-04,CampWisdom Chaucer,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,THEF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,,MVTF
2016-01-04,Loop12 JimMiller,MVTF
2016-01-04,Forest Audelia,MVTF
2016-01-04,,THEF
2016-01-04,Loop12 JimMiller,MVTF
2016-01-04,,THEF
2016-01-04,,MVTF
2016-01-04,Ross Bennett,BURG
2016-01-04,,PROP
2016-01-04,,MOTR
2016-01-04,StAugustine Bruton,THEF
2016-01-04,,VAND
2016-01-04,,THEF
2016-01-04,Monument GoodLatimer,BURG
2016-01-04,,BURG
2016-01-04,,THEF
2016-01-04,Coit Springvalley,ACDT
2016-01-04,,MVTF
2016-01-05,,OTHR
2016-01-05,NWHwy WaltonWalker,VAND
2016-01-05,,MVTF
2016-01-05,,ROBB
2016-01-05,,VAND
2016-01-05,,ROBB
2016-01-05,Buckner 30,ROBB
2016-01-05,JuliusSchepps Central,PROP
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,Kiest Polk,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,WebbChapel Timberline,MVTF
2016-01-05,Ross Bennett,MVTF
2016-01-05,Ross Bennett,MVTF
2016-01-05,WebbChapel Timberline,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,Kiest Polk,MVTF
2016-01-05,Loop12 JimMiller,MVTF
2016-01-05,,MVTF
2016-01-05,Kiest Polk,MVTF
2016-01-05,,MVTF
2016-01-05,Kiest Polk,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,CampWisdom Chaucer,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,WebbChapel Timberline,MVTF
2016-01-05,,MVTF
2016-01-05,,MVTF
2016-01-05,Greenville LBJ,MVTF
2016-01-05,CampWisdom Chaucer,MVTF
2016-01-05,,ALCH
2016-01-05,,VAND
2016-01-05,,VAND
2016-01-05,,VAND
2016-01-05,,THEF
2016-01-05,Jefferson Corridor,PROP
2016-01-05,,WCCR
2016-01-05,CampWisdom Chaucer,PROP
2016-01-05,SpringValley Preston,THEF
2016-01-05,,ALCH
2016-01-05,,ROBB
2016-01-05,,THEF
2016-01-05,,BURG
2016-01-05,Five Points,THEF
2016-01-06,,VAND
2016-01-06,,ARSN
2016-01-06,StAugustine Bruton,MVTF
2016-01-06,Forest Audelia,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,,ALCH
2016-01-06,,THEF
2016-01-06,,MVTF
2016-01-06,,MOTR
2016-01-06,,MOTR
2016-01-06,,MOTR
2016-01-06,,THEF
2016-01-06,,MVTF
2016-01-06,,PROP
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,Simpson Stuart Bonnieview,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,Kiest Westmoreland,MVTF
2016-01-06,Simpson Stuart Bonnieview,MVTF
2016-01-06,,MVTF
2016-01-06,Forest Audelia,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,John Carpenter Stemmons,MVTF
2016-01-06,Simpson Stuart Bonnieview,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,CampWisdom Chaucer,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,JohnWest Buckner,MVTF
2016-01-06,Kiest Westmoreland,MVTF
2016-01-06,,MVTF
2016-01-06,WebbChapel Timberline,MVTF
2016-01-06,,MVTF
2016-01-06,JohnWest Buckner,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,StAugustine Bruton,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,,MVTF
2016-01-06,Simpson Stuart Bonnieview,MVTF
2016-01-06,,MVTF
2016-01-06,Buckner 30,MVTF
2016-01-06,,MVTF
2016-01-06,,ALCH
2016-01-06,,BURG
2016-01-06,,BURG
2016-01-06,NWHwy WaltonWalker,PROP
2016-01-06,Coit Springvalley,OTHR
2016-01-06,,THEF
2016-01-06,,PROP
2016-01-06,,ASST
2016-01-06,,ROBB
2016-01-07,,THEF
2016-01-07,CampWisdom Chaucer,VAND
2016-01-07,Kiest Polk,MVTF
2016-01-07,,ARSN
2016-01-07,,MVTF
2016-01-07,,THEF
2016-01-07,Wycliff Lemmon,BURG
2016-01-07,Wycliff Lemmon,BURG
2016-01-07,,MVTF
2016-01-07,,MVTF
2016-01-07,,MVTF
2016-01-07,,MVTF
2016-01-07,,MVTF
2016-01-07,Ledbetter Sunnyvale,OTHR
2016-01-07,Monument GoodLatimer,PROP
2016-01-07,,WCCR
2016-01-07,,SUDT
2016-01-07,Kiest Polk,MVTF
2016-01-07,,ARSN
2016-01-07,,MVTF
2016-01-07,WalnutHill Jupiter,MVTF
2016-01-07,Monument GoodLatimer,MVTF
2016-01-07,Jefferson Corridor,MVTF
2016-01-07,,MVTF
